BillItemID,BillID,ServiceID,Quantity,Price
1,1,2,1,250.0
2,2,2,1,250.0
3,2,14,1,120.0
4,3,1,1,150.0
5,3,14,1,120.0
6,3,6,1,80.0
7,4,3,1,300.0
8,4,5,2,1500.0
9,4,12,1,800.0
10,4,14,1,120.0
11,5,2,1,250.0
12,5,13,1,400.0
13,6,4,3,500.0
14,6,17,1,6000.0
15,6,14,1,120.0
16,6,15,1,220.0
17,7,7,1,60.0
18,7,6,1,80.0
19,8,9,1,150.0
20,8,6,1,80.0
21,9,4,4,500.0
22,9,18,1,5500.0
23,9,14,1,120.0
24,10,2,1,250.0
25,10,14,1,120.0
26,11,2,1,250.0
27,11,13,1,400.0
28,12,4,5,500.0
29,12,16,1,220.0
30,13,2,1,250.00
31,14,2,1,250.00
32,14,14,1,120.00
33,14,6,1,80.00
34,15,3,1,300.00
35,15,10,1,200.00
36,16,4,2,500.00
37,16,17,1,6000.00
38,17,4,2,500.00
39,17,18,1,5500.00
40,18,7,1,60.00
41,18,6,1,80.00
42,19,9,1,150.00
43,19,8,1,120.00
44,20,6,1,80.00
45,21,2,1,250.0
46,22,7,1,60.0
47,22,6,1,80.0
48,23,2,1,250.0
49,24,10,1,200.0
50,25,4,3,500.0
51,25,18,1,5500.0
52,26,4,3,500.0
53,26,17,1,6000.0
54,27,5,2,1500.0
55,27,18,1,5500.0
56,28,2,1,250.0
57,29,2,1,250.0
58,29,6,1,80.0
59,30,2,1,250.0
60,31,2,1,250.0
61,32,2,1,250.0
62,33,7,1,60.0
63,33,6,1,80.0
64,34,3,1,300.0
65,34,10,1,200.0
66,35,2,1,250.0
67,36,2,1,250.0
68,36,6,1,80.0
69,37,7,1,60.0
70,37,6,1,80.0
71,38,9,1,150.0
72,39,4,3,500.0
73,39,18,1,5500.0
74,40,4,3,500.0
75,40,17,1,6000.0
76,41,5,2,1500.0
77,41,18,1,5500.0
78,42,2,1,250.0
79,43,2,1,250.0
80,44,6,2,80.0
81,44,12,1,800.0
82,45,10,1,200.0
83,35,14,1,120.0
84,36,14,1,120.0
85,43,6,1,80.0
86,42,6,1,80.0
87,38,8,1,120.0
88,33,8,1,120.0
89,37,8,1,120.0
90,45,6,1,80.0
91,46,2,1,250.0
92,47,7,1,60.0
93,47,6,1,80.0
94,48,3,1,300.0
95,48,10,1,200.0
96,49,3,1,300.0
97,49,13,1,400.0
98,50,2,1,250.0
99,51,2,1,250.0
100,51,6,1,80.0
101,52,9,1,150.0
102,53,7,1,60.0
103,53,6,1,80.0
104,54,2,1,250.0
105,55,2,1,250.0
106,55,6,1,80.0
107,56,8,1,120.0
108,57,6,1,80.0
109,58,3,1,300.0
110,58,10,1,200.0
111,59,2,1,250.0
112,60,4,2,500.0
113,60,17,1,6000.0
